Date,Europe,Scandinavia,West Europe,Central Europe,Southern Europe,Eastern Europe
1997/02/05,2.847,0.634,4.756,3.048,7.953,1.779
1997/02/06,2.954,0.669,4.867,3.378,8.075,1.827
1997/02/07,3.063,0.758,4.994,3.706,8.241,1.85
1997/02/08,3.149,0.799,5.111,3.811,8.368,1.928
1997/02/09,3.248,0.842,5.23,4.005,8.492,2.0
1997/02/10,3.344,0.887,5.353,4.175,8.639,2.07
1997/02/11,3.422,0.934,5.478,4.275,8.773,2.126
1997/02/12,3.501,0.984,5.606,4.377,8.91,2.183
1997/02/13,3.583,1.035,5.737,4.482,9.048,2.242
1997/02/14,3.655,0.962,5.87,4.705,9.104,2.302
1997/02/15,3.74,1.013,6.006,4.816,9.245,2.364
1997/02/16,3.826,1.066,6.145,4.93,9.389,2.427
1997/02/17,3.843,1.006,6.287,4.837,9.534,2.448
1997/02/18,3.931,1.059,6.431,4.949,9.681,2.512
1997/02/19,4.055,1.149,6.546,5.267,9.824,2.577
1997/02/20,4.1,1.2,6.694,5.157,9.847,2.658
1997/02/21,4.295,1.26,6.845,5.295,10.011,2.936
1997/02/22,4.583,1.322,6.998,5.697,10.174,3.319
1997/02/23,4.784,1.386,7.153,6.339,10.387,3.421
1997/02/24,4.942,1.453,7.348,6.509,10.61,3.579
1997/02/25,5.036,1.521,7.509,6.653,10.708,3.65
1997/02/26,5.164,1.659,7.672,6.846,10.868,3.738
1997/02/27,5.305,1.919,7.838,6.995,11.03,3.827
1997/02/28,5.792,2.002,8.006,7.627,11.111,4.569
1997/03/01,5.92,2.154,8.176,7.738,11.274,4.676
1997/03/02,6.081,2.245,8.348,7.902,11.439,4.857
1997/03/03,6.211,2.338,8.522,8.068,11.604,4.969
1997/03/04,6.362,2.551,8.698,8.235,11.771,5.083
1997/03/05,6.557,2.755,8.875,8.52,12.078,5.22
1997/03/06,6.694,2.863,9.055,8.693,12.249,5.337
1997/03/07,6.866,3.112,9.236,8.868,12.421,5.481
1997/03/08,7.009,3.23,9.419,9.049,12.593,5.602
1997/03/09,7.221,3.427,9.604,9.227,12.784,5.842
1997/03/10,7.811,3.589,9.79,9.492,13.13,6.831
1997/03/11,8.027,3.718,9.992,9.693,13.307,7.093
1997/03/12,8.287,3.849,10.182,9.929,13.489,7.438
1997/03/13,8.501,3.983,10.372,10.115,13.667,7.703
1997/03/14,8.682,4.048,10.563,10.302,13.847,7.92
1997/03/15,8.834,4.09,10.756,10.49,14.026,8.079
1997/03/16,8.98,4.225,10.95,10.679,14.206,8.197
1997/03/17,9.144,4.418,11.145,10.86,14.301,8.357
1997/03/18,9.303,4.551,11.341,11.035,14.48,8.506
1997/03/19,8.915,4.695,11.538,10.695,14.714,7.645
1997/03/20,7.875,4.424,11.735,8.193,14.894,6.278
1997/03/21,7.658,4.542,11.933,7.893,15.083,5.789
1997/03/22,7.79,4.676,12.131,8.022,15.262,5.896
1997/03/23,9.176,4.827,12.33,11.76,15.437,7.443
1997/03/24,9.412,4.965,12.53,11.973,15.616,7.742
1997/03/25,9.62,5.104,12.73,12.164,15.795,7.989
1997/03/26,9.858,5.244,12.93,12.355,15.973,8.298
1997/03/27,10.016,5.385,13.13,12.547,16.097,8.451
1997/03/28,10.198,5.527,13.331,12.717,16.26,8.652
1997/03/29,10.305,5.671,13.531,12.908,16.436,8.681
1997/03/30,10.888,5.815,13.731,13.212,16.611,9.69
1997/03/31,11.074,5.96,13.931,13.223,16.785,9.949
1997/04/01,11.29,6.218,14.131,13.463,17.002,10.146
1997/04/02,11.541,6.59,14.331,13.734,17.175,10.38
1997/04/03,12.129,6.745,14.53,13.925,17.347,11.435
1997/04/04,12.303,6.901,14.729,14.116,17.518,11.606
1997/04/05,12.462,7.057,14.927,14.172,17.761,11.772
1997/04/06,12.625,7.214,15.124,14.349,17.931,11.923
1997/04/07,12.437,7.385,15.321,13.97,17.927,11.556
1997/04/08,12.6,7.575,15.517,14.368,18.024,11.64
1997/04/09,12.748,7.734,15.683,14.532,18.109,11.792
1997/04/10,12.712,7.893,15.877,14.712,18.27,11.518
1997/04/11,12.971,8.052,16.07,14.89,18.43,11.877
1997/04/12,13.232,7.752,16.262,15.068,18.588,12.395
1997/04/13,13.154,7.903,16.483,15.248,18.745,12.03
1997/04/14,13.318,8.109,16.673,15.344,18.812,12.224
1997/04/15,13.476,8.261,16.861,15.517,18.966,12.374
1997/04/16,13.647,8.627,17.049,15.689,19.117,12.482
1997/04/17,13.82,8.781,17.234,15.883,19.267,12.658
1997/04/18,13.975,8.935,17.418,16.025,19.447,12.805
1997/04/19,14.129,9.089,17.601,16.193,19.594,12.951
1997/04/20,14.557,9.405,17.782,16.794,19.881,13.442
1997/04/21,14.799,9.567,17.961,16.963,20.025,13.776
1997/04/22,14.954,9.722,18.139,17.13,20.167,13.924
1997/04/23,15.725,9.875,18.315,17.344,20.307,15.378
1997/04/24,15.956,10.028,18.489,17.86,20.191,15.64
1997/04/25,16.264,10.18,18.661,18.026,20.325,16.121
1997/04/26,16.445,10.331,18.831,18.19,20.526,16.316
1997/04/27,16.663,10.472,18.999,18.351,20.657,16.612
1997/04/28,17.104,10.621,19.165,18.511,21.067,17.308
1997/04/29,17.26,10.768,19.328,18.669,21.195,17.474
1997/04/30,17.415,10.914,19.49,18.825,21.321,17.637
1997/05/01,17.612,11.45,19.649,18.87,21.445,17.801
